dim,name,mean_abs_action_minus_state,rmse,state_min,state_max,action_min,action_max
0,left_shoulder_pan.pos,1.072723,1.871091,-39.736263,41.670330,-39.912086,44.307693
1,left_shoulder_lift.pos,1.806433,3.692377,-104.527473,57.142857,-105.450546,55.516483
2,left_elbow_flex.pos,2.358150,3.758796,-92.483513,96.351646,-96.087914,96.967033
3,left_wrist_flex.pos,1.254669,2.093273,25.186813,100.263733,23.516483,100.703300
4,left_wrist_roll.pos,1.073262,1.910743,-91.032967,33.714287,-95.956047,34.153847
5,left_gripper.pos,1.795042,2.462195,0.996016,19.322710,0.000000,19.612404
6,right_shoulder_pan.pos,1.170847,1.643435,-47.912086,21.098902,-48.483517,21.846153
7,right_shoulder_lift.pos,4.213267,5.671410,-103.692307,70.285713,-113.142860,69.626373
8,right_elbow_flex.pos,3.556864,5.281973,-93.230766,97.010986,-96.087914,96.967033
9,right_wrist_flex.pos,1.930858,2.891563,43.736263,101.230766,41.890110,102.637360
10,right_wrist_roll.pos,1.075735,1.786728,-44.175823,73.450546,-44.879120,73.978020
11,right_gripper.pos,4.200891,4.752492,2.169751,22.399490,0.467654,23.304754
